file,drug,stimulus_type,center_sf,surround_sf,sweeps,clamp_mV,stimID,notes
2026_05_12_0013.abf,control,spot,,,0,-70,17,ON sustained
2026_05_12_0014.abf,control,spot,,,0,-70,18,ON sustained?
2026_05_12_0021.abf,control,center_only,1.0,100.0,0;1;2,-70,24,center contrast 25 surround contrast 50
2026_05_12_0022.abf,control,center_surround,1.0,1.0,0;1;2,-70,25,center contrast 25 surround contrast 50
2026_05_12_0023.abf,control,center_only,1.0,100.0,0;1;2,-70,26,center contrast 25 surround contrast 50
2026_05_12_0024.abf,control,center_surround,1.0,8.0,0;1;2,-70,27,center contrast 25 surround contrast 50
2026_05_12_0025.abf,control,center_surround,1.0,16.0,0;1;2,-70,28,center contrast 25 surround contrast 50
2026_05_12_0026.abf,control,center_surround,1.0,0.5,0;1;2,-70,29,center contrast 25 surround contrast 50
2026_05_12_0027.abf,control,center_surround,1.0,2.0,0;1;2,-70,30,center contrast 25 surround contrast 50
